Reaction	Glucose	Fructose	Gluconate	Succinate + Glutamate	Glycerol	Malate	Malate + Glucose	Pyruvate
R_EX_etha_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_drib_e	6.943872329582064e-09	5.29335829586351e-09	0.0	0.0	0.0	0.0	7.031937139900262e-09	0.0
R_EX_csn_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_5mtr_e	4.236358042974692e-09	0.0	0.0	0.0	0.0	0.0	8.464187135201836e-11	0.0
R_EX_dtmp_e	1.4305945135393154e-08	3.6504069098938153e-09	0.0	0.0	0.0	0.0	1.6579873680740103e-08	0.0
R_EX_6pgc_e	0.010568266337562313	0.0005239682178788076	0.0007301420679006669	0.0	8.835113950941603e-06	0.0	0.02699305820355192	0.0
R_EX_ctbt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cu2_e	5.5312551145787996e-21	8.786362940674409e-23	3.223895307733823e-21	2.409825702566573e-21	2.59847402025346e-21	9.82085623736262e-22	5.228107688564573e-21	7.859611148838912e-22
R_EX_Larab_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ectoine_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cys__D_e	1.3332332191215767e-23	1.534941406285839e-25	1.3061899637182071e-23	1.0193119364071804e-23	1.0232835646017675e-23	6.569390630873531e-24	1.1377431401179113e-23	6.249810002457242e-24
R_EX_cys__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_eths_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cyst__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_Lcyst_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cytd_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_abt__L_e	1.9115617150644056e-08	0.0	0.0	0.0	0.0	0.0	2.2859826940223147e-08	0.0
R_EX_etoh_e	0.4127753945663945	0.3086382407069432	0.2767154990051197	0.05868685842690829	0.3103073614284899	0.05981916572900401	0.4188990920110304	0.05322583225220392
R_EX_dad_2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_dcyt_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
