	mean $v_i$ tumor	mean $v_i$ normal	p-value	difference
Arginine and proline metabolism	0.0003670296263033065	0.00020245017767520697	4.097566536709705e-61	-0.00016457944862809955
D-alanine metabolism	0.0004801827831145849	0.0003175220762720231	1.8475170797998173e-29	-0.00016266070684256182
Glycolysis/gluconeogenesis	0.0011748070904565077	0.0010390071322061599	5.52773871071097e-50	-0.0001357999582503478
Citric acid cycle	0.0005670319618302335	0.00044512875046567776	1.0953789958713932e-53	-0.00012190321136455572
Glutamate metabolism	0.0004906213921592359	0.00040981299195182966	1.9330957010417315e-47	-8.08084002074062e-05
Nucleotide interconversion	0.00022083229640926843	0.00017255671697517834	1.2744527013363017e-58	-4.8275579434090086e-05
Alanine and aspartate metabolism	0.00016377244569182708	0.00012967506718029675	2.0672455381001518e-56	-3.409737851153033e-05
Pyrimidine synthesis	0.00022352129228558058	0.00019056068457197972	1.0198042354811485e-47	-3.296060771360086e-05
Fructose and mannose metabolism	0.00016200028992754235	0.00013270644043169896	2.6540636206638194e-54	-2.9293849495843385e-05
Nucleotide salvage pathway	0.00010648196767245375	7.755935218598667e-05	7.00493858629583e-16	-2.8922615486467082e-05
Vitamin B2 metabolism	0.00024025884709372644	0.00021155717049738853	2.6914844892902692e-36	-2.870167659633791e-05
Purine synthesis	7.493149050100717e-05	5.0758118001665863e-05	8.588416814593995e-51	-2.4173372499341303e-05
Heme degradation	2.204576553113437e-05	3.0664073874158947e-06	1.902297897152437e-25	-1.8979358143718474e-05
Purine catabolism	0.0001087549572377493	9.183819683880724e-05	9.206156469942539e-48	-1.6916760398942053e-05
Folate metabolism	8.166752089010013e-05	6.651108465227335e-05	4.2009875822020074e-33	-1.5156436237826775e-05
Exchange/demand reaction	0.00015088507924954504	0.00013658971892215908	2.6205383355043935e-09	-1.4295360327385955e-05
Galactose metabolism	0.00014145488621804413	0.00012722117595321232	3.896117362598409e-37	-1.423371026483181e-05
Aminosugar metabolism	7.760018762830738e-05	6.420817300723196e-05	8.549053494058564e-51	-1.3392014621075424e-05
Glycine, serine, alanine, and threonine metabolism	0.00014736042450207298	0.0001342026629563132	2.276884619421599e-13	-1.3157761545759772e-05
NAD metabolism	0.00027165141568214645	0.0002591805848558553	4.4965840018755695e-12	-1.2470830826291168e-05
Starch and sucrose metabolism	7.123970008002813e-05	6.114856278863619e-05	2.7074983183894892e-49	-1.0091137291391941e-05
Urea cycle	0.00011503650297031332	0.0001056327922635483	5.861634808985254e-31	-9.403710706765023e-06
Phenylalanine metabolism	5.8595806420229114e-05	4.995470166357053e-05	1.110271135623375e-08	-8.641104756658583e-06
Sphingolipid metabolism	6.115011443266474e-05	5.325129855730484e-05	1.66985804886668e-47	-7.898815875359905e-06
Pentose phosphate pathway	0.00045472910953283947	0.0004476379827199788	4.4769296108541134e-05	-7.091126812860645e-06
Miscellaneous	0.0002336836516357677	0.000228440699162517	0.03952004490942452	-5.24295247325069e-06
Leukotriene metabolism	0.00014689837602393604	0.0001418966334967467	0.2191466965330205	-5.00174252718934e-06
Tyrosine metabolism	7.689178930124342e-05	7.210952920796853e-05	0.0001470457358797017	-4.782260093274889e-06
Inositol phosphate metabolism	7.686985091311556e-05	7.257560452879341e-05	1.5894015922881503e-12	-4.294246384322148e-06
Heme synthesis	3.664848364506921e-05	3.353767239910429e-05	1.2082772578385624e-05	-3.110811245964918e-06
Eicosanoid metabolism	0.00011017459499428396	0.0001074554710816321	0.0008799680768586685	-2.7191239126518667e-06
Transport, nuclear	7.936654916378305e-05	7.67446670723063e-05	1.6205885731931088e-10	-2.621882091476753e-06
Androgen and estrogen synthesis and metabolism	3.0349299554484706e-05	2.7775624356829435e-05	1.1947241288379487e-36	-2.5736751976552708e-06
N-glycan synthesis	7.4091402782742e-05	7.202750887057707e-05	9.10073859243532e-07	-2.063893912164922e-06
Phosphatidylinositol phosphate metabolism	7.23451752116189e-05	7.044969175999669e-05	6.316033622246843e-12	-1.8954834516222085e-06
Hyaluronan metabolism	2.9515821450982856e-05	2.7807997029385474e-05	0.0006998074964150025	-1.7078244215973814e-06
